id,shop_id,shop_name,is_mall,is_verified,follower_count,rating_star,rating_count,response_rate,location,total_products,total_sold,shop_url,crawled_at
2919,6408173,Herskin Store,0,0,5322,4.905082,2962,86.0,Hà Nội,166,3029,https://shopee.vn/herskin,2026-03-19 13:29:46
2920,26393066,Mỹ Phẩm Auth Giá Sỉ  St,0,0,208098,4.951762,195458,100.0,TP. Hồ Chí Minh,239,197268,https://shopee.vn/myphamauthgiasi,2026-03-19 13:29:48
2921,23383719,Thorakao Shop,0,0,62827,4.949768,112822,95.0,TP. Hồ Chí Minh,139,114049,https://shopee.vn/thorakaoshop,2026-03-19 13:29:49
2922,10056952,Ebisucosmetic,0,0,29163,4.954637,24953,93.0,TP. Hồ Chí Minh,1093,25202,https://shopee.vn/ebisucosmetics,2026-03-19 13:29:51
2923,29559718,Bối Bối Shop,0,0,151792,4.941013,175682,93.0,TP. Hồ Chí Minh,1380,178049,https://shopee.vn/minhhieu2491,2026-03-19 13:29:53
2924,21003684,MinHy's House,0,0,7334,4.906975,19832,55.0,Đồng Nai,255,20201,https://shopee.vn/phuonganhhieu,2026-03-19 13:29:55
2925,23328386,Yves Rocher ,0,0,11595,4.93184,4293,94.0,TP. Hồ Chí Minh,65,4354,https://shopee.vn/yvesrocher.vn,2026-03-19 13:29:57
2926,3761296,Dujourland,0,0,36454,4.940082,30699,71.0,Hà Nội,1038,31101,https://shopee.vn/dujourland,2026-03-19 13:29:59
2927,31897126,Toptotoes.vn,0,0,753878,4.949703,589769,95.0,Hà Nội,619,596006,https://shopee.vn/toptotoesvn,2026-03-19 13:30:00
2928,1383021,Vivalust Cosmetics,0,0,66055,4.932117,17918,92.0,TP. Hồ Chí Minh,347,18204,https://shopee.vn/vivalust,2026-03-19 13:30:02
2929,29759074,labity,0,0,698,4.833835,1309,34.0,Trà Vinh,151,1371,https://shopee.vn/labity,2026-03-19 13:30:04
2930,4192168,Mỹ phẩm Thu Huyền,0,0,23682,4.935242,79011,96.0,Hà Nội,363,80174,https://shopee.vn/quanhuyenhuong,2026-03-19 13:30:06
2931,12179967,Mỹ Phẩm Hoài Phương,0,0,40339,4.869996,39896,99.0,Hà Nội,504,41237,https://shopee.vn/myphamhoaiphuong,2026-03-19 13:30:07
2932,37108844,Evoluderm - Store Chính Hãng,0,0,171400,4.91414,86392,98.0,TP. Hồ Chí Minh,107,88192,https://shopee.vn/evoluderm.official,2026-03-19 13:30:09
